"Aegis Technologies Group, Inc., The - PSS"						
Labor Category	Site	10/29/2017 - 10/28/2018	10/29/2018 - 10/28/2019	10/29/2019 - 10/28/2020	4/1/2021 - 3/31/2022	
Program Analyst V	On	113.48	117.17	120.98	124.91	
Program Analyst V	Off	129.78	134	138.35	142.85	
Program Analyst VI	On	121.55	125.51	129.58	133.79	
Program Analyst VI	Off	139	143.51	148.17	152.99	
Program Analyst VII	On	127.15	131.29	135.55	139.96	
Program Analyst VII	Off	145.44	150.17	155.05	160.08	
Program Analyst VIII	On	140.38	144.95	149.66	154.53	
Program Analyst VIII	Off	162.42	167.7	173.14	178.77	
Program Manager I	On	132.58	136.89	141.34	145.93	
Program Manager I	Off	151.61	156.53	161.62	166.87	
Program Manager II	On	153.43	158.42	163.57	168.89	
Program Manager II	Off	147.58	152.38	157.33	162.45	
Program Manager III	On	178.97	184.78	190.78	196.98	
Program Manager III	Off	181.4	187.3	193.39	199.67	
Senior Engineer/ Scientist I	On	126.48	130.59	134.83	139.22	
Senior Engineer/ Scientist I	Off	135.86	140.27	144.83	149.54	
Senior Engineer/ Scientist II	On	141.88	146.49	151.25	156.17	
Senior Engineer/ Scientist II	Off	154.86	159.89	165.09	170.45	
Senior Engineer/ Scientist IV	On	217.76	224.84	232.14	239.69	
Senior Engineer/ Scientist IV	Off	251.59	259.76	268.2	276.91	
Senior Engineer/Scientist III	On	164.62	169.98	175.5	181.21	
Senior Engineer/Scientist III	Off	180.51	186.38	192.44	198.69	
Tech I	On	48.51	50.09	51.72	53.4	
Tech II	On	55.85	57.67	59.55	61.49	
						
"Torch Technologies, Inc. - IT"						
Labor Category	Site	12/11/2017 - 12/10/2018	12/11/2018 - 12/10/2019	12/11/2019 - 12/10/2020	12/11/2020 - 12/10/2021	
Admin I	On	22.44	22.86	23.29	23.73	
Admin II	On	35.01	35.67	36.35	37.04	
Admin III	On	41.99	42.79	43.6	44.43	
Entry Level Engineer	On	44.07	44.91	45.76	46.63	
Entry Level Engineer	Off	50.35	51.31	52.29	53.28	
IT Analyst/Engineer I	On	50.76	51.72	52.7	53.7	
IT Analyst/Engineer I	Off	56.66	57.74	58.84	59.96	
IT Analyst/Engineer II	On	56.34	57.41	58.51	59.62	
IT Analyst/Engineer II	Off	62.53	63.72	64.93	66.16	
IT Analyst/Engineer III	On	64.41	65.64	66.88	68.15	
IT Analyst/Engineer III	Off	69.67	70.99	72.34	73.71	
IT Analyst/Engineer IV	On	67.2	68.47	69.78	71.1	
IT Analyst/Engineer IV	Off	74.83	76.25	77.69	79.17	
IT Analyst/Engineer IX	On	121.57	123.88	126.23	128.63	
IT Analyst/Engineer IX	Off	136.66	139.26	141.9	144.6	
IT Analyst/Engineer V	On	73.85	75.25	76.69	78.14	
IT Analyst/Engineer V	Off	79.9	81.42	82.97	84.54	
IT Analyst/Engineer VI	On	76.71	78.16	79.65	81.16	
IT Analyst/Engineer VI	Off	86.07	87.71	89.38	91.07	
IT Analyst/Engineer VII	On	88.39	90.07	91.78	93.53	
IT Analyst/Engineer VII	Off	99.47	101.36	103.29	105.25	
IT Analyst/Engineer VIII	On	104.14	106.12	108.14	110.19	
IT Analyst/Engineer VIII	Off	116.7	118.92	121.18	123.48	
IT Analyst/Engineer X	On	168.16	171.35	174.61	177.92	
IT Analyst/Engineer X	Off	182.43	185.89	189.43	193.03	
Program Manager I	On	112.75	114.89	117.07	119.29	
Program Manager I	Off	135.1	137.66	140.28	142.94	
Program Manager II	On	115	117.18	119.4	121.67	
Program Manager II	Off	148.89	151.72	154.6	157.54	
Program Manager III	On	134.13	136.68	139.28	141.93	
Program Manager III	Off	183.02	186.5	190.04	193.65	
Subject Matter Expert I	On	179.11	182.52	185.99	189.53	
Subject Matter Expert I	Off	204.69	208.57	212.53	216.57	
Tech I	On	28.71	29.25	29.81	30.38	
Tech II	On	44.32	45.17	46.02	46.89	
